Age groups,Gender,Population counts
0 to 4,Women+,141265
0 to 4,Men+,148155
5 to 9,Women+,158665
5 to 9,Men+,167010
10 to 14,Women+,169830
10 to 14,Men+,180125
15 to 19,Women+,172865
15 to 19,Men+,184295
20 to 24,Women+,201225
20 to 24,Men+,217205
25 to 29,Women+,229840
25 to 29,Men+,236690
30 to 34,Women+,236265
30 to 34,Men+,230895
35 to 39,Women+,229195
35 to 39,Men+,214750
40 to 44,Women+,219375
40 to 44,Men+,195575
45 to 49,Women+,219040
45 to 49,Men+,195950
50 to 54,Women+,225125
50 to 54,Men+,206050
55 to 59,Women+,224465
55 to 59,Men+,214005
60 to 64,Women+,196820
60 to 64,Men+,184900
65 to 69,Women+,163710
65 to 69,Men+,144815
70 to 74,Women+,139340
70 to 74,Men+,119635
75 to 79,Women+,95620
75 to 79,Men+,79380
80 to 84,Women+,72080
80 to 84,Men+,54905
85 to 89,Women+,47795
85 to 89,Men+,33120
90 to 94,Women+,25955
90 to 94,Men+,13900
95 to 99,Women+,7920
95 to 99,Men+,2975
100+,Women+,1160
100+,Men+,330